,id,region,regulated_dam,primary_purpose,primary_type,height,length,volume,surface,drainage,spillway,inspection_frequency,distance_to_nearest_city,hazard,assessment,probability_of_failure,dam_repair_loss,damage_loss,business_interruption_loss,age,modification_count,years_from_modification,years_from_inspection,years_from_assessment
13267,SOAD01650,Navaldia,Yes,Flood Risk Reduction,Earth,17.957,0.27,60940.0,0.05516,5.32658,,0.0,,Low,Not Rated,0.1055,18.7,11.0,,63.0,0,63.0,63.0,11.0
13268,SOAD02535,Lyndrassia,Yes,Irrigation,Earth,14.737,0.127,180000.0,0.17139,7.98987,Uncontrolled,0.2,6.32,Low,Not Rated,0.0412,33.5,152.4,21.2,58.0,0,58.0,58.0,18.0
13269,SOAD02844,Flumevale,Yes,Other,Earth,6.481,0.235,27524.0,0.07683,,Uncontrolled,0.16666666666666666,10.14,Low,Not Rated,0.0491,35.5,399.5,,45.0,0,45.0,7.0,45.0
13270,SOAD08216,Flumevale,Yes,Fish and Wildlife Pond,Earth,7.944,0.367,5705.0,0.17336,111.85818,Uncontrolled,0.5,3.22,Significant,Satisfactory,0.096,29.7,770.4,,69.0,0,69.0,4.0,4.0
13271,SOAD11970,Navaldia,No,Recreation,Earth,8.356,0.433,,0.11032,,Uncontrolled,0.2,,Significant,Not Rated,0.1056,45.9,119.7,6.4,59.0,0,59.0,16.0,11.0
13272,SOAD12002,Lyndrassia,No,Grade Stabilization,Earth,9.641,0.223,22586.0,0.06698,1893.59919,Uncontrolled,0.0,,Low,Not Rated,0.1125,5.7,19.4,,55.0,0,55.0,55.0,55.0
13273,SOAD12111,Navaldia,No,Water Supply,Earth,12.73,,,0.12017,,,0.0,,Low,Not Rated,0.0685,36.5,15.9,44.3,85.0,0,85.0,85.0,11.0
13274,SOAD13585,Lyndrassia,No,,Gravity,7.297,0.085,6000.0,0.54766,5.32658,,0.2,,Low,Not Rated,0.0508,687.0,6.9,,,0,,7.0,
13275,SOAD14663,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.211,0.175,,0.13002,,,0.16666666666666666,18.44,Low,Satisfactory,0.0375,41.8,286.9,,110.0,0,110.0,14.0,3.0
13276,SOAD16004,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.692,0.298,,0.12608,,,0.0,,Low,Not Rated,0.1106,12.0,22.5,,65.0,0,65.0,65.0,11.0
13277,SOAD18686,Flumevale,Yes,Flood Risk Reduction,Earth,18.951,0.463,,0.13199,13.31645,Uncontrolled,0.3333333333333333,41.56,High,Satisfactory,0.1054,18.8,144.3,,32.0,0,32.0,3.0,3.0
13278,SOAD20153,Navaldia,Yes,Recreation,Earth,4.758,0.333,,0.3152,2.66329,,1.0,,High,Satisfactory,0.0912,143.1,853.2,8.3,48.0,1,19.0,4.0,48.0
13279,SOAD02056,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,12.24,0.142,,,,,0.0,,Low,Not Rated,0.0916,30.6,5.3,,54.0,0,54.0,53.0,11.0
13280,SOAD07235,Navaldia,No,Irrigation,Earth,11.264,0.221,,,,,0.0,,Low,Not Rated,0.0879,35.3,18.7,19.4,44.0,0,44.0,40.0,11.0
13281,SOAD07594,Lyndrassia,No,Flood Risk Reduction,Gravity,15.948,0.237,101834.0,0.14775,47.93922,Uncontrolled,0.2,,Low,Poor,0.0813,18.4,22.8,,,0,,5.0,5.0
13282,SOAD09378,Lyndrassia,Yes,Irrigation,Earth,6.573,0.067,,,,,0.0,100.02,Low,,0.0997,15.1,143.0,32.6,71.0,0,71.0,71.0,71.0
13283,SOAD11275,Lyndrassia,Yes,Water Supply,Earth,18.923,0.2,70000.0,0.07486,2.66329,Uncontrolled,0.3333333333333333,28.4,High,Satisfactory,0.0841,34.4,224.3,60.5,67.0,0,67.0,3.0,10.0
13284,SOAD11822,Lyndrassia,No,Irrigation,Earth,8.073,0.582,39848.0,0.05713,1768.42456,Uncontrolled,0.0,,Low,Not Rated,0.0902,22.9,17.1,40.4,47.0,0,47.0,47.0,47.0
13285,SOAD12398,Navaldia,Yes,Recreation,Earth,3.166,0.135,,0.25807,2.66329,,1.0,,High,Fair,0.1168,614.5,914.0,4.6,97.0,0,97.0,4.0,97.0
13286,SOAD14048,Lyndrassia,Yes,Irrigation,Earth,7.11,0.1,,,,,0.0,7.8,Low,,0.1201,19.5,162.9,17.3,60.0,0,60.0,60.0,60.0
13287,SOAD03642,Lyndrassia,Yes,Irrigation,Earth,7.766,0.363,,0.20488,127.83792,,0.0,,Low,,0.0779,7.5,12.5,28.8,,0,,,
13288,SOAD06686,Navaldia,Yes,Recreation,Earth,8.704,0.133,,0.06895,2.66329,,0.2,,Low,Fair,0.0502,31.4,7.8,8.8,85.0,1,13.0,6.0,85.0
13289,SOAD08681,Lyndrassia,No,Recreation,Earth,11.59,,,0.13396,2157.2649,,0.0,3.33,High,Not Rated,0.1104,14.9,521.8,8.1,35.0,0,35.0,35.0,35.0
13290,SOAD08787,Lyndrassia,Yes,Irrigation,Earth,4.978,0.2,,,37.28606,,0.0,57.75,Low,,0.0899,15.4,150.8,28.3,75.0,0,75.0,75.0,75.0
13291,SOAD09755,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.44,0.067,,,,,0.0,43.48,Low,,0.1166,23.0,227.8,,87.0,0,87.0,87.0,87.0
13292,SOAD09808,Navaldia,No,Recreation,Earth,5.006,0.152,,0.16548,,,0.0,,Low,Not Rated,0.1164,42.5,12.6,9.4,76.0,0,76.0,41.0,11.0
13293,SOAD14378,Lyndrassia,No,Other,Earth,8.704,,,0.15957,1310.33868,,0.0,16.41,Low,Not Rated,0.0674,22.1,311.7,,66.0,0,66.0,66.0,66.0
13294,SOAD15087,Lyndrassia,Yes,Irrigation,Earth,9.004,0.233,,,,,0.0,83.49,Low,,0.0867,10.3,216.6,21.5,61.0,0,61.0,61.0,61.0
13295,SOAD16965,Lyndrassia,Yes,Flood Risk Reduction,Earth,14.277,0.25,81815.0,0.3742999999999999,15.97974,Uncontrolled,0.2,26.71,High,Satisfactory,0.0676,186.0,218.0,,35.0,0,35.0,3.0,18.0
13296,SOAD18987,Lyndrassia,Yes,Irrigation,,8.68,0.223,,0.29747,10.65316,,0.0,56.04,Low,,0.1149,392.2,176.3,40.3,41.0,0,41.0,41.0,41.0
13297,SOAD00518,Lyndrassia,Yes,Irrigation,Earth,9.158,0.213,,,,,0.0,9.93,Significant,,0.1288,75.6,384.3,39.2,89.0,0,89.0,89.0,89.0
13298,SOAD00839,Lyndrassia,No,Flood Risk Reduction,Earth,11.032,0.32,55745.0,0.00788,1813.70049,Uncontrolled,0.0,,Significant,Not Rated,0.1436,28.3,173.6,,66.0,0,66.0,66.0,66.0
13299,SOAD01622,Navaldia,Yes,Flood Risk Reduction,Earth,14.624,0.319,51930.0,0.05319,5.32658,,0.0,,Low,Not Rated,0.0739,4.8,7.9,,58.0,0,58.0,58.0,11.0
13300,SOAD04564,Flumevale,Yes,Irrigation,Earth,5.995,0.283,,0.25807,7.98987,Uncontrolled,0.16666666666666666,23.04,Low,Not Rated,0.0868,247.8,287.3,43.4,73.0,0,73.0,7.0,73.0
13301,SOAD05072,Navaldia,No,Other,Earth,13.616,0.158,,,17652.28612,,0.0,,Low,Not Rated,0.0665,14.2,11.6,,44.0,0,44.0,44.0,11.0
13302,SOAD05279,Navaldia,Yes,Recreation,Stone,7.192,0.052,,0.1792699999999999,63.91896,,0.2,,Low,Satisfactory,0.0284,46.5,9.9,9.5,175.0,0,175.0,7.0,175.0
13303,SOAD08119,Navaldia,No,,Earth,3.515,0.463,,0.34278,,,0.0,,Low,Not Rated,0.0786,526.8,23.3,,,0,,,11.0
13304,SOAD10804,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.101,0.1,,,,,0.0,79.29,Low,,0.0683,11.4,143.5,,76.0,0,76.0,76.0,76.0
13305,SOAD12318,Lyndrassia,Yes,Recreation,Earth,5.287,0.108,,0.44719,5.32658,,0.0,3.17,Low,,0.104,88.1,830.7,6.2,59.0,0,59.0,45.0,59.0
13306,SOAD12320,Lyndrassia,No,Other,Earth,6.47,,,0.24231,814.96674,,0.0,1.63,High,Not Rated,0.1066,27.0,263.1,,116.0,0,116.0,46.0,116.0
13307,SOAD12494,Navaldia,Yes,Water Supply,Earth,9.14,0.078,,0.08077,21.30632,,0.2,,Low,Fair,0.0648,13.9,22.7,17.8,125.0,0,125.0,5.0,125.0
13308,SOAD12604,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.674,,,0.21079,,,0.0,0.0,Significant,Not Rated,0.1483,27.8,777.5,,34.0,0,34.0,34.0,34.0
13309,SOAD14812,Navaldia,Yes,Recreation,Earth,6.864,0.427,,0.14972,5.32658,Uncontrolled,0.5,,Significant,Not Rated,0.1637,40.6,390.3,5.9,62.0,1,15.0,4.0,2.0
13310,SOAD16458,Navaldia,No,,Earth,7.646,0.533,,0.10835,10.65316,Uncontrolled,0.25,8.03,High,Fair,0.0845,31.2,244.1,,,0,,5.0,5.0
13311,SOAD16526,Navaldia,No,Recreation,Earth,10.928,0.193,,0.12805,,,0.0,,Low,Not Rated,0.0845,32.0,14.0,8.6,60.0,0,60.0,60.0,11.0
13312,SOAD16610,Flumevale,Yes,Hydroelectric,Earth,4.359,0.087,,0.1832099999999999,,Uncontrolled,0.16666666666666666,28.79,Low,Fair,0.041,28.0,321.8,77.6,103.0,0,103.0,8.0,3.0
13313,SOAD18670,Navaldia,Yes,Recreation,Earth,8.631,0.25,89000.0,0.14381,13.31645,Uncontrolled,0.2,,High,Fair,0.0677,44.6,853.7,5.1,21.0,0,21.0,6.0,10.0
13314,SOAD18847,Flumevale,Yes,Other,Earth,7.823,0.318,20827.0,0.1871499999999999,,,1.0,0.0,High,Fair,0.1085,44.8,824.4,,163.0,0,163.0,2.0,8.0
13315,SOAD00389,Navaldia,No,Other,Earth,8.892,0.333,,,,,0.0,,Low,Not Rated,0.0756,26.8,6.3,,64.0,0,64.0,56.0,11.0
13316,SOAD01841,Flumevale,Yes,Irrigation,Earth,10.689,0.033,6933.0,0.13002,,Uncontrolled,0.5,4.88,Significant,Fair,0.1311,17.9,871.6,3.2,87.0,1,26.0,3.0,3.0
13317,SOAD03002,Lyndrassia,No,Recreation,Earth,11.91,,,0.13002,1472.79937,,0.0,23.62,Low,Not Rated,0.0678,24.5,453.1,6.3,49.0,0,49.0,49.0,49.0
13318,SOAD03098,Navaldia,No,,,13.455,0.483,,,,Uncontrolled,0.0,,Low,Not Rated,0.1039,8.3,16.1,,,0,,,11.0
13319,SOAD03337,Navaldia,No,,Earth,6.683,0.142,,0.20882,2.66329,Uncontrolled,0.0,,Significant,Not Rated,0.149,32.1,108.5,,28.0,0,28.0,28.0,8.0
13320,SOAD03603,Flumevale,Yes,Recreation,Earth,9.757,0.318,28861.0,,460.74917,Uncontrolled,0.0,22.62,Significant,Not Rated,0.1603,26.2,407.7,6.0,88.0,0,88.0,11.0,88.0
13321,SOAD03720,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.027,0.667,,,,,0.0,22.61,Low,,0.0928,6.7,304.7,,60.0,0,60.0,60.0,60.0
13322,SOAD08744,Navaldia,Yes,Recreation,Earth,11.722,0.217,,0.14381,5.32658,Uncontrolled,0.2,8.35,High,Fair,0.0696,13.3,407.2,3.4,108.0,1,46.0,4.0,4.0
13323,SOAD09751,Navaldia,Yes,Flood Risk Reduction,Earth,8.454,0.277,34880.0,0.05319,2.66329,,0.0,,Low,Not Rated,0.1165,25.4,20.3,,60.0,0,60.0,60.0,11.0
13324,SOAD11842,Navaldia,No,Water Supply,Earth,8.32,0.325,,0.10638,,,0.0,,Low,Not Rated,0.1046,42.9,6.4,57.9,62.0,0,62.0,62.0,11.0
13325,SOAD13018,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.016,0.2,,,,,0.0,12.86,Significant,,0.1503,280.5,327.0,,87.0,0,87.0,87.0,87.0
13326,SOAD15933,Lyndrassia,No,Recreation,Earth,11.484,,,0.13593,3089.4164,,0.0,1.66,High,Not Rated,0.1323,34.0,510.2,4.8,53.0,0,53.0,47.0,53.0
13327,SOAD18891,Navaldia,No,,Earth,6.387,0.248,,0.08077,,,0.0,1.58,Low,Not Rated,0.0713,19.3,907.7,,73.0,0,73.0,41.0,11.0
13328,SOAD19889,Navaldia,No,Irrigation,Earth,12.897,0.227,,,,,0.0,,Low,Not Rated,0.1053,29.3,10.4,31.1,54.0,0,54.0,54.0,11.0
13329,SOAD01655,Navaldia,No,Recreation,Earth,6.754,0.372,,0.17336,,,0.0,,Low,Not Rated,0.0718,24.0,8.7,3.5,67.0,0,67.0,67.0,11.0
13330,SOAD03186,Navaldia,Yes,Recreation,Earth,7.412,0.95,,0.19503,2.66329,,1.0,,High,Fair,0.0924,33.1,904.9,8.6,58.0,1,15.0,5.0,58.0
13331,SOAD08560,Navaldia,No,Water Supply,Earth,13.078,0.203,,0.12411,,,0.0,,Low,Not Rated,0.0693,6.9,7.6,54.1,61.0,0,61.0,61.0,11.0
13332,SOAD09344,Navaldia,Yes,Flood Risk Reduction,Earth,11.884,0.31,46330.0,0.03743,2.66329,Uncontrolled,0.0,14.5,High,Fair,0.1075,25.9,357.4,,59.0,0,59.0,6.0,6.0
13333,SOAD09448,Flumevale,Yes,Water Supply,Earth,12.734,0.182,,0.14184,,Uncontrolled,1.0,14.45,High,Fair,0.1205,17.5,209.9,30.7,73.0,0,73.0,3.0,3.0
13334,SOAD10117,Navaldia,No,Recreation,Earth,7.584,0.4,,,,Uncontrolled,0.2,,Significant,Not Rated,0.1275,18.8,281.2,7.1,63.0,0,63.0,15.0,10.0
13335,SOAD10755,Navaldia,No,Recreation,Earth,14.056,0.217,,0.12214,,,0.0,1.58,Low,Not Rated,0.1034,46.0,624.5,4.1,62.0,0,62.0,37.0,11.0
13336,SOAD13576,Flumevale,Yes,Irrigation,Earth,8.397,0.183,,0.10047,7.98987,Uncontrolled,0.16666666666666666,37.41,Low,Satisfactory,0.0512,12.6,127.3,47.0,112.0,0,112.0,9.0,12.0
13337,SOAD20037,Lyndrassia,Yes,Water Supply,Earth,16.593,0.107,,0.11623,31.95948,,0.0,19.26,Significant,Poor,0.1573,18.1,467.4,57.9,118.0,1,10.0,6.0,10.0
13338,SOAD20041,Lyndrassia,No,Recreation,,11.704,,,0.10047,1789.73088,,0.0,0.0,Significant,Not Rated,0.132,26.7,208.6,8.1,34.0,0,34.0,34.0,34.0
13339,SOAD02529,Navaldia,No,Irrigation,Earth,6.728,0.308,,0.24231,,Uncontrolled,0.0,,Low,Not Rated,0.0893,41.8,12.2,8.1,60.0,0,60.0,40.0,11.0
13340,SOAD02653,Lyndrassia,Yes,Irrigation,Earth,9.039,0.067,,0.15366,,,0.0,12.44,Low,,0.0798,22.7,259.6,1.8,90.0,0,90.0,90.0,90.0
13341,SOAD06800,Lyndrassia,No,,Earth,10.424,,,0.14578,1257.07288,,0.0,6.21,High,Not Rated,0.1231,36.7,336.2,,43.0,0,43.0,43.0,43.0
13342,SOAD10705,Flumevale,Yes,Water Supply,Earth,19.027,0.133,39800.0,0.14578,2.66329,,2.0,,Low,Satisfactory,0.0778,41.5,12.5,43.9,69.0,0,69.0,3.0,8.0
13343,SOAD12575,Navaldia,Yes,,,6.403,1.083,,0.12805,,,0.5,,High,Poor,0.135,18.1,523.3,,12.0,0,12.0,3.0,3.0
13344,SOAD13502,Navaldia,No,Debris Control,Earth,8.012,0.37,11758.0,0.06304,7.98987,Uncontrolled,0.25,9.98,Low,Fair,0.0504,21.6,456.9,,,0,,5.0,5.0
13345,SOAD17119,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.366,0.117,,,,,0.0,35.69,Low,,0.0506,11.6,127.1,,72.0,0,72.0,72.0,72.0
13346,SOAD18195,Navaldia,Yes,Other,Earth,3.092,,,0.23246,5.32658,,0.2,,Low,Not Rated,0.0477,40.5,11.3,,,0,,10.0,
13347,SOAD18640,Flumevale,Yes,Water Supply,Earth,11.067,0.376,71888.0,0.14184,,,0.16666666666666666,21.95,Low,Fair,0.0625,6.7,265.9,14.4,78.0,0,78.0,5.0,5.0
13348,SOAD19594,Navaldia,No,Water Supply,Earth,7.749,0.258,,0.13593,,,0.0,,Low,Not Rated,0.1109,18.0,8.9,56.9,82.0,0,82.0,82.0,11.0
13349,SOAD01483,Lyndrassia,No,,Earth,11.584,,,0.16942,19295.53605,,0.0,0.0,Significant,Not Rated,0.1412,33.9,181.4,,,0,,,
13350,SOAD03136,Navaldia,No,,,6.349,0.683,,,,Uncontrolled,0.0,,Low,Not Rated,0.136,15.6,7.6,,,0,,,11.0
13351,SOAD04634,Navaldia,Yes,Flood Risk Reduction,Earth,8.812,0.388,,0.05122,2.66329,,0.0,,Low,Not Rated,0.0646,23.5,7.9,,65.0,0,65.0,65.0,11.0
13352,SOAD11710,Navaldia,Yes,Flood Risk Reduction,Earth,8.299,0.317,44030.0,0.0788,5.32658,,0.0,,Low,Not Rated,0.1043,27.9,8.5,,58.0,0,58.0,58.0,11.0
13353,SOAD14073,Navaldia,No,,Earth,6.938,0.5,,0.14381,,,0.0,,Low,Not Rated,0.0939,13.3,12.8,,61.0,0,61.0,61.0,11.0
13354,SOAD14592,Navaldia,No,Water Supply,Earth,5.775,0.332,,0.16351,,,0.0,,Low,Not Rated,0.0915,23.3,16.7,32.6,61.0,0,61.0,61.0,11.0
13355,SOAD14921,Navaldia,Yes,Flood Risk Reduction,Earth,9.504,0.333,38500.0,0.0985,2.66329,,0.0,,Low,Not Rated,0.1194,26.3,16.8,,50.0,0,50.0,50.0,11.0
13356,SOAD19781,Lyndrassia,No,Grade Stabilization,Earth,10.269,0.2,26901.0,0.05319,418.13653,Uncontrolled,0.0,,Low,Not Rated,0.0873,43.5,4.8,,52.0,0,52.0,52.0,52.0
13357,SOAD20257,Navaldia,No,Water Supply,Earth,6.491,0.383,,0.19306,,,0.0,,Low,Not Rated,0.0943,16.0,22.3,27.4,66.0,0,66.0,66.0,11.0
13358,SOAD20413,Lyndrassia,Yes,Irrigation,Earth,4.026,0.06,,,,,0.0,32.24,Low,,0.0784,21.3,204.7,4.4,106.0,0,106.0,106.0,106.0
13359,SOAD02396,Lyndrassia,No,Recreation,Earth,5.179,,,0.30535,2468.86983,,0.0,20.11,Low,Not Rated,0.0819,469.4,463.2,9.5,63.0,0,63.0,63.0,63.0
13360,SOAD05517,Flumevale,Yes,Flood Risk Reduction,Earth,17.796,1.392,423125.0,0.20291,37.28606,,1.0,0.66,High,Satisfactory,0.1051,5.6,404.5,,17.0,0,17.0,3.0,8.0
13361,SOAD09726,Navaldia,Yes,Recreation,Earth,5.064,0.085,,0.25413,5.32658,Uncontrolled,1.0,,High,Fair,0.1051,525.0,794.1,9.2,28.0,0,28.0,8.0,28.0
13362,SOAD12194,Flumevale,Yes,Irrigation,Earth,3.175,0.043,,0.30732,,,0.16666666666666666,8.43,Low,Not Rated,0.038,48.4,159.5,7.1,105.0,0,105.0,4.0,105.0
13363,SOAD14412,Lyndrassia,Yes,Irrigation,Earth,7.043,0.1,,,,,0.0,35.77,Low,,0.0706,23.8,203.6,16.5,53.0,0,53.0,53.0,53.0
13364,SOAD15863,Navaldia,No,Water Supply,Earth,7.849,0.363,,0.19109,,,0.0,26.93,Low,Not Rated,0.083,42.2,157.0,30.9,64.0,0,64.0,64.0,11.0
13365,SOAD16812,Navaldia,Yes,Recreation,Earth,12.935,0.395,,0.67374,2.66329,Uncontrolled,0.0,,Low,Not Rated,0.0893,229.5,11.0,4.8,63.0,0,63.0,39.0,11.0
13366,SOAD18729,Navaldia,No,,Earth,8.259,0.257,23694.0,0.13199,,,0.0,,Low,Not Rated,0.0824,15.8,14.1,,61.0,0,61.0,61.0,11.0
13367,SOAD19798,Lyndrassia,No,Recreation,Earth,10.751,,,0.14578,2753.84186,,0.0,21.82,Low,Not Rated,0.0718,21.1,322.3,9.1,68.0,0,68.0,68.0,68.0
13368,SOAD00266,Navaldia,No,Irrigation,Earth,2.683,1.678,,,,,0.0,,Low,Not Rated,0.0779,20.1,15.4,34.7,76.0,0,76.0,55.0,11.0
13369,SOAD00565,Lyndrassia,Yes,Recreation,Earth,13.6,0.187,25000.0,0.10638,2.66329,Uncontrolled,0.2,7.66,Low,Satisfactory,0.0454,20.8,134.4,9.2,57.0,0,57.0,6.0,8.0
13370,SOAD00731,Navaldia,Yes,Recreation,Earth,14.415,0.203,,0.16154,10.65316,,0.2,,Low,Satisfactory,0.0445,18.4,12.8,8.7,58.0,0,58.0,6.0,58.0
13371,SOAD03781,Navaldia,Yes,Flood Risk Reduction,Earth,17.49,0.34,90400.0,0.03546,5.32658,,0.0,,Low,Not Rated,0.1248,31.4,22.4,,58.0,0,58.0,58.0,11.0
13372,SOAD04875,Navaldia,No,Recreation,Earth,7.209,0.183,,0.20094,,,0.0,,Low,Not Rated,0.0622,11.8,21.4,7.9,46.0,0,46.0,46.0,11.0
13373,SOAD06069,Navaldia,No,Recreation,Earth,6.661,0.217,,0.14381,,,0.0,,Low,Not Rated,0.0727,41.1,16.0,7.5,59.0,0,59.0,29.0,11.0
13374,SOAD06230,Lyndrassia,No,Recreation,Earth,8.077,,,0.1851799999999999,15172.76313,,0.0,0.0,High,Not Rated,0.1264,39.6,586.8,8.6,90.0,0,90.0,47.0,90.0
13375,SOAD07672,Navaldia,No,Water Supply,Earth,8.98,0.264,,,,,0.0,,Low,Not Rated,0.1256,25.2,6.9,50.5,46.0,0,46.0,46.0,11.0
13376,SOAD10619,Navaldia,No,Recreation,Earth,12.315,0.1,,0.14381,,,0.0,,Low,Not Rated,0.0733,41.4,8.6,4.1,65.0,0,65.0,65.0,11.0
13377,SOAD11392,Navaldia,No,Recreation,Earth,7.062,0.304,28046.0,0.20488,,,0.0,,Low,Not Rated,0.0753,15.4,9.6,7.2,65.0,0,65.0,65.0,11.0
13378,SOAD16283,Navaldia,Yes,Water Supply,Earth,3.575,1.167,,0.14775,,,0.0,,Low,Not Rated,0.0762,5.5,14.1,39.2,70.0,0,70.0,35.0,11.0
13379,SOAD16949,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.093,0.44,,,,,0.0,17.73,Low,,0.0942,16.6,374.5,,51.0,0,51.0,51.0,51.0
13380,SOAD18037,Flumevale,Yes,Other,Earth,15.534,0.158,35000.0,0.1379,7.98987,,1.0,1.66,High,Satisfactory,0.1124,24.4,491.0,,61.0,0,61.0,4.0,8.0
13381,SOAD00648,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.335,0.333,,0.09653,,,0.0,,Low,Not Rated,0.1234,29.1,7.2,,95.0,0,95.0,95.0,11.0
13382,SOAD01336,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,13.853,0.067,,,,,0.0,19.95,Significant,,0.1582,431.4,263.0,,66.0,0,66.0,66.0,66.0
13383,SOAD01409,Lyndrassia,Yes,Irrigation,Earth,19.752,0.267,125000.0,0.13002,2.66329,Uncontrolled,0.3333333333333333,29.53,High,Not Rated,0.1251,46.4,157.5,46.9,55.0,0,55.0,3.0,18.0
13384,SOAD02347,Navaldia,Yes,Flood Risk Reduction,Earth,10.398,0.583,65440.0,0.10638,5.32658,Uncontrolled,0.2,,High,Fair,0.0972,32.0,835.3,,62.0,0,62.0,4.0,4.0
13385,SOAD06977,Navaldia,Yes,Flood Risk Reduction,Earth,10.234,0.406,38160.0,0.08274,2.66329,,0.0,,Low,Not Rated,0.0617,37.6,7.9,,62.0,0,62.0,62.0,11.0
13386,SOAD08180,Lyndrassia,Yes,Irrigation,Earth,8.902,0.167,,,18.64303,,0.0,47.1,Low,,0.077,6.4,139.8,24.8,65.0,0,65.0,65.0,65.0
13387,SOAD08397,Navaldia,Yes,Flood Risk Reduction,Earth,9.014,0.323,51200.0,,,,0.0,,Low,Not Rated,0.1231,11.7,18.0,,44.0,0,44.0,12.0,11.0
13388,SOAD08656,Navaldia,Yes,Irrigation,Earth,2.453,0.067,,0.65404,,,0.0,,Low,Not Rated,0.1259,531.0,9.1,2.8,,0,,,11.0
13389,SOAD11857,Navaldia,No,,Earth,7.05,0.31,,0.30929,7.98987,Uncontrolled,0.0,,Significant,Not Rated,0.1575,322.2,58.3,,30.0,0,30.0,16.0,11.0
13390,SOAD12110,Navaldia,No,Water Supply,Earth,8.877,0.433,,0.16351,,,0.0,,Low,Not Rated,0.0899,23.9,15.5,22.4,65.0,0,65.0,65.0,11.0
13391,SOAD12115,Navaldia,No,,Earth,8.185,0.2,,0.1753299999999999,,Uncontrolled,0.0,,Significant,Not Rated,0.1638,18.0,48.4,,7.0,0,7.0,7.0,7.0
13392,SOAD13078,Lyndrassia,Yes,Irrigation,Concrete,7.262,0.021,,0.20094,21.30632,Uncontrolled,0.0,19.4,Low,,0.0835,30.8,319.7,43.8,125.0,0,125.0,22.0,125.0
13393,SOAD15511,Navaldia,Yes,Flood Risk Reduction,Earth,6.575,0.533,41600.0,,31.95948,Uncontrolled,0.2,,Significant,Fair,0.098,12.7,365.3,,27.0,0,27.0,4.0,3.0
13394,SOAD18929,Lyndrassia,Yes,Irrigation,Earth,10.393,0.133,,,,,0.0,10.1,Low,,0.0989,16.7,221.1,45.9,70.0,0,70.0,70.0,70.0
13395,SOAD19318,Navaldia,No,,Earth,7.365,0.3,,,,,0.0,,Low,Not Rated,0.067,12.2,14.1,,55.0,0,55.0,55.0,11.0
13396,SOAD20575,Navaldia,No,Water Supply,Earth,6.555,0.267,,0.22458,,,0.0,,Low,Not Rated,0.082,7.5,22.5,53.4,68.0,0,68.0,68.0,11.0
13397,SOAD00014,Lyndrassia,No,Recreation,Earth,10.198,,,0.17139,2274.44966,,0.0,10.97,High,Not Rated,0.1117,19.0,275.2,3.2,64.0,0,64.0,64.0,64.0
13398,SOAD00612,Flumevale,Yes,Water Supply,Earth,18.209,0.092,32000.0,0.25413,26.6329,,1.0,11.81,Significant,Satisfactory,0.1184,183.7,475.7,6.3,60.0,0,60.0,3.0,8.0
13399,SOAD02139,Navaldia,No,Water Supply,Earth,5.106,0.255,,0.15563,,,0.0,,Low,Not Rated,0.076,42.9,7.8,36.8,57.0,0,57.0,57.0,11.0
13400,SOAD03334,Navaldia,No,,Earth,5.526,0.233,,0.22852,,,0.0,,Low,Not Rated,0.1069,7.1,18.3,,51.0,0,51.0,51.0,11.0
13401,SOAD05932,Navaldia,Yes,Flood Risk Reduction,Earth,6.578,0.417,,,21.30632,Uncontrolled,0.0,9.83,Low,Not Rated,0.0768,12.4,344.4,,87.0,0,87.0,19.0,11.0
13402,SOAD07052,Flumevale,Yes,Fish and Wildlife Pond,Earth,5.015,0.075,1661.0,,21.30632,Uncontrolled,0.0,37.23,Significant,Not Rated,0.1419,28.3,214.1,,59.0,0,59.0,8.0,59.0
13403,SOAD07541,Navaldia,No,Water Supply,Earth,5.287,1.067,,0.1753299999999999,,,0.0,,Low,Not Rated,0.0613,25.4,6.5,71.5,51.0,0,51.0,51.0,11.0
13404,SOAD09120,Navaldia,No,,Earth,7.202,0.33,2763.0,0.22064,18.64303,,0.0,,Low,Not Rated,0.0924,6.7,10.1,,60.0,0,60.0,60.0,11.0
13405,SOAD09676,Flumevale,Yes,Water Supply,Concrete,34.635,0.123,7000.0,0.12017,1006.72362,Uncontrolled,1.0,3.28,High,Satisfactory,0.1093,5.1,208.9,62.8,56.0,0,56.0,2.0,2.0
