"","X","id","region","regulated_dam","primary_purpose","primary_type","height","length","volume","surface","drainage","spillway","inspection_frequency","distance_to_nearest_city","hazard","assessment","probability_of_failure","dam_repair_loss","damage_loss","business_interruption_loss","age","modification_count","years_from_modification","years_from_inspection","years_from_assessment","one_year_prob"
"12609",12608,"SOAD01873","Navaldia","Yes","Flood Risk Reduction","Earth",9.574,0.268,28310,0.06895,2.66329,"",0,NA,"Low","Not Rated",0.0751,25,10.1,NA,62,0,62,62,11,0.00806071746145359
"12610",12609,"SOAD02301","Navaldia","Yes","Recreation","Earth",6.38,0.171,NA,0.25019,39.94935,"Uncontrolled",0.2,NA,"High","Fair",0.0716,292.5,488,3.7,80,1,8,6,6,0.00766125470743552
"12611",12610,"SOAD02734","Navaldia","No","Recreation","Earth",9.557,0.233,NA,NA,NA,"",0,12.74,"Significant","Not Rated",0.1382,40,423.5,9,45,0,45,16,11,0.0159793424803066
"12612",12611,"SOAD04519","Flumevale","Yes","Irrigation","Earth",8.402,0.233,41482,0.14381,50.60251,"",0.166666666666667,99.02,"Low","Not Rated",0.0797,24.1,119.6,45.7,69,0,69,11,69,0.00860268333100052
"12613",12612,"SOAD06680","Navaldia","Yes","Recreation","Earth",3.692,2.058,NA,NA,NA,"",0,NA,"Low","Not Rated",0.1157,30.7,11.1,3.8,38,0,38,38,11,0.0130186729101719
"12614",12613,"SOAD07389","Lyndrassia","Yes","Irrigation","Earth",4.249,0.05,NA,NA,1294.35894,"",0,103.86,"Low","",0.0739,21.9,113.9,11.7,75,0,75,75,75,0.00792456094446782
"12615",12614,"SOAD07414","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.445,0.1,NA,NA,NA,"",0,75.78,"Low","",0.107,21.3,127,NA,75,0,75,75,75,0.0119191024740264
"12616",12615,"SOAD08008","Lyndrassia","No","Recreation","Earth",7.83,NA,NA,0.15957,4674.07395,"",0,22.69,"High","Not Rated",0.1073,43,239.7,6.8,58,0,58,58,58,0.0119520869355859
"12617",12616,"SOAD10466","Navaldia","Yes","Recreation","Earth",5.465,0.267,NA,0.13002,NA,"Uncontrolled",0.2,12.42,"High","Not Rated",0.1069,16.4,311.5,3.9,50,1,10,8,3,0.0119067853926884
"12618",12617,"SOAD10977","Navaldia","No","Water Supply","Earth",8.001,0.25,NA,0.15169,NA,"",0,NA,"Low","Not Rated",0.0885,6.3,6.3,15.4,64,0,64,64,11,0.00965257600961206
"12619",12618,"SOAD11334","Lyndrassia","No","Flood Risk Reduction","Earth",7.421,0.247,20283,0.02758,1046.67297,"Uncontrolled",0,NA,"Low","Not Rated",0.0696,16,23.3,NA,45,0,45,45,45,0.00743294564143865
"12620",12619,"SOAD11656","Navaldia","No","Water Supply","Earth",11.85,0.143,NA,0.12214,NA,"",0,NA,"Low","Not Rated",0.0877,16.7,22.6,27.2,65,0,65,65,11,0.00955642335574666
"12621",12620,"SOAD14243","Flumevale","Yes","Flood Risk Reduction","Earth",21.187,0.297,NA,0.0985,7.98987,"",0.333333333333333,70.39,"Low","Not Rated",0.0942,43.8,226,NA,57,0,57,9,57,0.0103418837219604
"12622",12621,"SOAD14259","Flumevale","Yes","Water Supply","Earth",12.652,1.012,150000,0.10441,NA,"",1,0,"High","Satisfactory",0.0993,32.6,850.3,68.2,26,0,26,3,8,0.0109652126100123
"12623",12622,"SOAD15546","Navaldia","No","Recreation","Earth",10.666,0.183,NA,0.08668,NA,"",0,NA,"Low","Not Rated",0.0975,8.3,17.4,9.3,60,0,60,60,11,0.0107444732200403
"12624",12623,"SOAD17679","Lyndrassia","No","Irrigation","Earth",6.794,NA,NA,0.18715,12911.62992,"",0,43.56,"High","Not Rated",0.1155,10.6,89.9,40.3,55,0,55,55,55,0.0129929658329331
"12625",12624,"SOAD19834","Flumevale","Yes","Irrigation","Earth",8.25,0.126,20751,0.12805,NA,"",0.166666666666667,13.79,"Low","Not Rated",0.073,11.5,114.3,33.5,68,0,68,4,68,0.00782142920672308
"12626",12625,"SOAD00256","Lyndrassia","No","Grade Stabilization","Earth",11.095,0.175,21522,0.12411,2080.02949,"Uncontrolled",0,NA,"Low","Not Rated",0.0935,31.8,6.7,NA,63,0,63,63,63,0.0102568248785799
"12627",12626,"SOAD01133","Navaldia","No","Recreation","Earth",7.126,NA,NA,0.24231,NA,"",0,NA,"Low","Not Rated",0.1181,36.3,11,7.7,76,0,76,76,11,0.0133314008106733
"12628",12627,"SOAD02506","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",8.601,0.097,NA,NA,NA,"",0,39.9,"Low","",0.0749,21.2,143.8,NA,87,0,87,87,87,0.00803726279480242
"12629",12628,"SOAD07407","Navaldia","No","Water Supply","Earth",5.944,0.66,NA,0.22458,NA,"",0,NA,"Low","Not Rated",0.1074,45.2,23.7,36.1,83,0,83,83,11,0.0119631245618288
"12630",12629,"SOAD09978","Flumevale","Yes","Other","Earth",5.852,0.5,NA,0.18321,125.17463,"Uncontrolled",0.166666666666667,16.83,"Low","Fair",0.0674,13.4,261.6,NA,NA,0,NA,6,4,0.00718246997963063
"12631",12630,"SOAD10281","Navaldia","No","Recreation","Earth",3.113,0.533,NA,NA,NA,"",0,NA,"Low","Not Rated",0.0858,18.1,14.8,6.4,NA,0,NA,53,11,0.00932863171534105
"12632",12631,"SOAD10579","Lyndrassia","No","Recreation","Earth",11.807,NA,NA,0.11426,490.04536,"",0,9.46,"High","Not Rated",0.1483,15.1,360.7,7.1,65,0,65,65,65,0.0173806165214354
"12633",12632,"SOAD14794","Lyndrassia","No","Grade Stabilization","Earth",12.082,0.188,30401,0.08077,2402.28758,"Uncontrolled",0,NA,"Low","Not Rated",0.1319,20.2,8.2,NA,63,0,63,63,63,0.0151319840079509
"12634",12633,"SOAD14909","Flumevale","Yes","Water Supply","Earth",11.856,0.347,90000,0.16745,5.32658,"",2,NA,"Low","Satisfactory",0.0852,44,22.6,53.6,68,0,68,3,8,0.00925686351401669
"12635",12634,"SOAD15453","Navaldia","Yes","Recreation","Earth",6.2,0.428,NA,0.08274,NA,"",0,NA,"Low","Not Rated",0.0913,29.5,14.9,3.5,58,0,58,58,11,0.00999024719639862
"12636",12635,"SOAD17013","Navaldia","No","Water Supply","Earth",13.024,0.213,NA,0.1182,NA,"",0,6.28,"Low","Not Rated",0.0866,36.5,200.8,19.8,55,0,55,55,11,0.00942444639823279
"12637",12636,"SOAD17744","Navaldia","Yes","Flood Risk Reduction","Earth",11.295,0.48,NA,0.04334,5.32658,"",0,NA,"Low","Not Rated",0.1217,25.8,22.6,NA,41,0,41,41,11,0.013814406629894
"12638",12637,"SOAD18479","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",7.554,0.121,NA,NA,22094.65384,"",0,NA,"Low","Not Rated",0.1115,6,16.7,NA,50,0,50,50,11,0.0124957351446458
"12639",12638,"SOAD19535","Flumevale","Yes","Irrigation","Earth",4.2,0.223,NA,0.29353,NA,"Uncontrolled",0.166666666666667,56.35,"Low","Not Rated",0.0404,68.2,140,46,114,0,114,11,114,0.00418513061026516
"12640",12639,"SOAD20599","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",7.612,0.233,NA,NA,NA,"",0,34.71,"Low","",0.0903,15,158.4,NA,60,0,60,60,60,0.00986944576537448
"12641",12640,"SOAD01242","Navaldia","No","Recreation","Earth",7.641,NA,NA,0.19503,NA,"",0,NA,"Low","Not Rated",0.081,35.6,19,5.1,65,0,65,65,11,0.0087567057605206
"12642",12641,"SOAD02405","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",6.842,0.195,NA,0.13593,NA,"",0,NA,"Low","Not Rated",0.061,14,7.7,NA,62,0,62,62,11,0.0064575757901961
"12643",12642,"SOAD02523","Navaldia","Yes","Recreation","Earth",8.099,0.9,NA,0.20094,2.66329,"",1,NA,"High","Poor",0.1161,35.8,889.5,4.7,62,0,62,5,62,0.0130702524435134
"12644",12643,"SOAD02611","Navaldia","No","Recreation","Earth",7.106,0.275,NA,0.13002,NA,"",0,NA,"Low","Not Rated",0.0512,39.6,23.1,5.7,55,0,55,55,11,0.00535861753323078
"12645",12644,"SOAD03576","Navaldia","Yes","Flood Risk Reduction","Earth",11.634,0.32,32260,0.05319,2.66329,"",0,NA,"Low","Not Rated",0.0626,22.5,15.6,NA,57,0,57,57,11,0.00663828221047657
"12646",12645,"SOAD03927","Lyndrassia","Yes","Irrigation","Earth",6.448,0.1,NA,NA,2.66329,"",0,6.37,"Low","",0.0591,19,355.7,14.6,53,0,53,53,53,0.00624343814087028
"12647",12646,"SOAD04047","Lyndrassia","No","Irrigation","Earth",7.821,NA,NA,0.15563,796.32371,"",0,41.51,"High","Not Rated",0.1214,22.1,211.7,5.2,56,0,56,56,56,0.0137735584060634
"12648",12647,"SOAD07315","Flumevale","Yes","Water Supply","Earth",10.236,0.083,14000,0.25216,18.64303,"",2,NA,"Low","Satisfactory",0.0793,493,11.9,18.7,57,0,57,3,8,0.008555367228112
"12649",12648,"SOAD10034","Lyndrassia","No","Recreation","Earth",12.252,0.35,NA,0.12214,1632.59677,"",0,1.63,"Low","Not Rated",0.0859,37.6,947.8,7.1,58,0,58,58,58,0.00934060080975743
"12650",12649,"SOAD11421","Flumevale","Yes","Water Supply","Earth",12.485,0.25,6700,0.08077,NA,"",0.166666666666667,9.54,"Low","Not Rated",0.0759,47.4,355.1,19.7,52,0,52,6,52,0.00815462804270629
"12651",12650,"SOAD12120","Flumevale","Yes","Water Supply","Earth",17.292,0.2,23019,0.09653,NA,"Uncontrolled",0.5,53.89,"Significant","Fair",0.1531,19.6,128.6,48,76,1,16,3,3,0.0180172861924262
"12652",12651,"SOAD12313","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",7.146,0.08,NA,NA,2.66329,"",0,8.11,"Low","",0.0899,12.6,353.9,NA,56,0,56,56,56,0.0098211891241704
"12653",12652,"SOAD14196","Lyndrassia","No","Irrigation","Earth",8.942,NA,NA,0.14775,2559.42169,"",0,0,"Low","Not Rated",0.0782,11.9,543.3,5.6,45,0,45,45,45,0.00842543185069728
"12654",12653,"SOAD15169","Navaldia","Yes","Recreation","Earth",6.641,0.203,NA,0.23246,39.94935,"",1,NA,"High","Fair",0.1112,13.5,530.2,3.1,86,0,86,5,86,0.0124599384427763
"12655",12654,"SOAD15268","Navaldia","No","Water Supply","Earth",7.703,0.267,NA,0.14381,NA,"",0,NA,"Low","Not Rated",0.0871,34.5,20,62.3,60,0,60,60,11,0.00948440258267519
"12656",12655,"SOAD15500","Navaldia","No","Water Supply","Earth",6.34,0.183,NA,0.13002,NA,"",0,NA,"Low","Not Rated",0.0715,44.1,15.5,55.5,58,0,58,58,11,0.00764982515576263
"12657",12656,"SOAD16770","Lyndrassia","No","Recreation","Earth",10.122,NA,NA,0.1379,6916.56413,"",0,4.62,"High","Not Rated",0.134,21.7,778.7,7.3,65,0,65,47,65,0.0154128857450627
"12658",12657,"SOAD19052","Navaldia","Yes","Recreation","Earth",3.916,0.056,NA,0.31323,55.92909,"",1,NA,"High","Poor",0.1219,148.2,550.9,3.1,125,0,125,5,125,0.0138416959283991
"12659",12658,"SOAD20678","Lyndrassia","No","Recreation","Earth",10.637,NA,NA,0.12214,5217.38511,"",0,10.94,"Low","Not Rated",0.1112,17,300.8,4.5,54,0,54,54,54,0.0124599384427763
"12660",12659,"SOAD00068","Navaldia","No","Water Supply","Earth",7.194,0.595,NA,0.197,NA,"",0,NA,"Low","Not Rated",0.1257,24.3,19.4,59,57,0,57,57,11,0.0143071737313772
"12661",12660,"SOAD00495","Navaldia","Yes","Water Supply","Earth",19.898,0.137,NA,0.07092,7.98987,"",1,NA,"High","Satisfactory",0.0778,17.2,948.4,14.4,141,0,141,5,141,0.00837824976651749
"12662",12661,"SOAD00664","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.392,0.03,NA,NA,NA,"",0,28.21,"Low","",0.0749,9.2,432.9,NA,71,0,71,71,71,0.00803726279480242
"12663",12662,"SOAD02727","Navaldia","No","","Earth",6.372,0.447,NA,0.16745,NA,"",0,NA,"Low","Not Rated",0.1188,36.4,21.3,NA,NA,0,NA,NA,11,0.0134240518580613
"12664",12663,"SOAD04268","Lyndrassia","No","Flood Risk Reduction","Earth",8.739,NA,NA,0.15563,1398.22725,"",0,9.85,"Low","Not Rated",0.0976,5.1,189.8,NA,54,0,54,54,54,0.0107567149257054
"12665",12664,"SOAD05028","Flumevale","Yes","Recreation","Earth",16.771,0.117,NA,0.07289,NA,"Uncontrolled",1,0,"High","Unsatisfactory",0.1493,27.9,814.9,8.3,119,0,119,3,3,0.0175264854235962
"12666",12665,"SOAD06191","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",7.098,0.25,NA,NA,23.96961,"Uncontrolled",0,41.74,"Low","",0.1121,19.9,80,NA,69,0,69,69,69,0.0125679554498387
"12667",12666,"SOAD08501","Navaldia","Yes","Recreation","Concrete",2.36,0.02,NA,0.04925,5.32658,"",0.2,NA,"Low","Poor",0.0675,16.2,8.5,6.8,91,0,91,6,91,0.00719384053389826
"12668",12667,"SOAD10781","Flumevale","Yes","Water Supply","Earth",9.092,0.553,52000,0.20882,NA,"",1,7.71,"Significant","Satisfactory",0.1266,30.7,137.4,54.2,63,0,63,3,8,0.0144301143551629
"12669",12668,"SOAD11080","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",8.752,0.067,NA,NA,NA,"",0,53.79,"Low","",0.0846,17.5,211.3,NA,73,0,73,73,73,0.00918517469376619
"12670",12669,"SOAD11554","Lyndrassia","Yes","Recreation","Earth",13.412,0.243,80000,0.16745,10.65316,"Uncontrolled",0.2,4.84,"Low","Satisfactory",0.0429,32.9,188.3,7.2,47,0,47,4,16,0.00443995319851878
"12671",12670,"SOAD13197","Flumevale","Yes","Other","Earth",28.191,0.2,5e+05,0.10244,NA,"",2,NA,"Low","Satisfactory",0.0664,23.9,7.4,NA,55,0,55,3,8,0.00706884008574799
"12672",12671,"SOAD14323","Flumevale","Yes","Irrigation","Earth",16.745,0.086,23344,0.05713,71.90883,"Uncontrolled",0,23.68,"Low","Not Rated",0.1243,19.6,189.2,20.4,75,2,27,28,75,0.0141115187391773
"12673",12672,"SOAD15134","Navaldia","No","Recreation","Earth",5.395,0.228,NA,0.08471,NA,"",0,NA,"Low","Not Rated",0.1151,40.7,15.7,4.8,65,0,65,65,11,0.0129602623608988
"12674",12673,"SOAD17747","Lyndrassia","No","Recreation","Earth",11.75,NA,NA,0.11426,1914.90551,"",0,0,"Low","Not Rated",0.0758,37.3,851.1,7.4,37,0,37,37,37,0.00814288120122638
"12675",12674,"SOAD18014","Navaldia","No","Other","Earth",10.014,0.367,NA,0.13396,2.66329,"",0,NA,"Low","Not Rated",0.1074,18.6,12.7,NA,36,0,36,35,11,0.0119631245618288
"12676",12675,"SOAD18453","Lyndrassia","No","Recreation","Earth",9.789,NA,NA,0.13593,1744.45495,"",0,0,"Low","Not Rated",0.0813,9.2,564.4,8.3,50,0,50,50,50,0.00879230247747538
"12677",12676,"SOAD19464","Navaldia","Yes","Flood Risk Reduction","Earth",8.852,0.295,35200,0.0394,5.32658,"",0,NA,"Low","Not Rated",0.1016,7.9,7.9,NA,46,0,46,46,11,0.0112484934161977
"12678",12677,"SOAD20013","Navaldia","No","Tailings","Earth",3.436,0.167,NA,NA,NA,"",0,NA,"Low","Not Rated",0.1034,8.8,9.8,NA,102,0,102,102,11,0.0114711823504553
"12679",12678,"SOAD00104","Navaldia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.034,0.746,NA,0.66783,NA,"",0,1.59,"Low","Not Rated",0.064,427,210.4,NA,58,0,58,38,11,0.00679668271873497
"12680",12679,"SOAD00122","Flumevale","Yes","Irrigation","Earth",7.248,0.17,10320,0.15366,NA,"Uncontrolled",1,14.58,"High","Fair",0.0993,7,251.8,3,114,1,39,4,4,0.0109652126100123
"12681",12680,"SOAD03223","Flumevale","Yes","Water Supply","Earth",6.005,3.461,1485300,0.17533,NA,"",2,NA,"Low","Satisfactory",0.069,19.2,16,30.1,41,0,41,3,8,0.00736456633067172
"12682",12681,"SOAD03673","Lyndrassia","Yes","Irrigation","Earth",5.05,0.2,NA,NA,NA,"",0,13.21,"Low","",0.1137,19.1,203.8,17.3,85,0,85,85,85,0.0127646697796939
"12683",12682,"SOAD03686","Navaldia","Yes","Recreation","Earth",5.359,0.233,NA,0.14381,10.65316,"Uncontrolled",0,23.94,"Low","Not Rated",0.1029,17.4,418.2,6.6,30,0,30,19,11,0.0114092352723995
"12684",12683,"SOAD03812","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",8.691,0.1,NA,0.2955,21.30632,"",0,20.02,"Low","Not Rated",0.1048,551.8,469.8,NA,117,0,117,33,117,0.0116450049720417
"12685",12684,"SOAD04949","Flumevale","Yes","Irrigation","Earth",7.793,0.867,31823,0.16351,NA,"",0.166666666666667,36.56,"Low","Fair",0.0497,36.8,70.6,6.3,122,0,122,10,10,0.00519170090953018
"12686",12685,"SOAD05309","Navaldia","No","","Earth",8.51,0.537,28625,0.21867,NA,"",0,NA,"Low","Not Rated",0.0655,15.3,5.1,NA,56,0,56,56,11,0.00696668985804689
"12687",12686,"SOAD07133","Navaldia","No","Irrigation","Earth",7.563,NA,NA,NA,NA,"",0,44.02,"Low","Not Rated",0.1061,36.1,198.4,44.6,54,0,54,54,11,0.0118069093863884
"12688",12687,"SOAD08769","Navaldia","Yes","Flood Risk Reduction","Earth",3.639,1.433,40262,NA,NA,"",0,NA,"Low","Not Rated",0.1263,36.9,8.4,NA,40,0,40,18,11,0.0143906909935215
"12689",12688,"SOAD08910","Lyndrassia","No","Water Supply","Earth",11.834,NA,NA,0.1182,862.90596,"",0,0,"Low","Not Rated",0.0734,21.8,398.6,41.4,63,0,63,63,63,0.00786724954108835
"12690",12689,"SOAD09464","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",10.172,NA,NA,0.12214,609.89341,"",0,13.45,"Low","Not Rated",0.1133,13.8,245.8,NA,47,0,47,47,47,0.012714924931757
"12691",12690,"SOAD09604","Navaldia","No","Other","Earth",14.182,0.283,NA,NA,NA,"",0,6.16,"Significant","Not Available",0.1651,260.1,445.2,NA,NA,0,NA,NA,NA,0.0197579676897369
"12692",12691,"SOAD12133","Flumevale","Yes","Hydroelectric","Concrete",10.152,0.068,6475,0.21473,NA,"Uncontrolled",0.333333333333333,24.26,"Low","Satisfactory",0.068,44.3,346.8,80.7,119,0,119,3,2,0.00725071412476339
"12693",12692,"SOAD13060","Lyndrassia","Yes","Recreation","Earth",17.192,0.207,NA,0.0985,NA,"",0,NA,"High","Satisfactory",0.0921,32.2,496.4,8.3,25,1,25,4,8,0.0100870540337326
"12694",12693,"SOAD14407","Navaldia","No","Water Supply","Earth",6.083,0.307,NA,0.17927,NA,"",0,NA,"Low","Not Rated",0.1235,12.2,5.1,17.6,60,0,60,60,11,0.0140005621160142
"12695",12694,"SOAD16504","Navaldia","No","Water Supply","Earth",8.829,0.129,NA,0.06698,NA,"",0,NA,"Low","Not Rated",0.07,34.1,8.6,13.6,54,0,54,54,11,0.00747856056486148
"12696",12695,"SOAD17046","Lyndrassia","No","Recreation","Earth",5.364,NA,NA,0.24034,4157.39569,"",0,11.28,"Low","Not Rated",0.1026,23.1,216.8,8.6,60,0,60,60,60,0.0113721000839165
"12697",12696,"SOAD19474","Navaldia","No","Other","Earth",11.996,NA,NA,NA,23665.99494,"",0,NA,"Low","Not Rated",0.0959,30.2,14,NA,42,0,42,42,11,0.0105489451011936
"12698",12697,"SOAD20025","Navaldia","No","Recreation","Earth",9.768,0.153,NA,0.15563,NA,"",0,NA,"Low","Not Rated",0.0623,36.3,20.8,6.4,54,0,54,54,11,0.00660437348891352
"12699",12698,"SOAD01443","Flumevale","Yes","Water Supply","Earth",6.72,0.833,7557,0.14578,NA,"Uncontrolled",0.5,1.56,"Significant","Satisfactory",0.1134,26.9,365.7,6.1,137,2,24,3,3,0.0127273256125947
"12700",12699,"SOAD01564","Navaldia","No","Irrigation","Earth",6.362,0.25,NA,NA,NA,"",0,NA,"Low","Not Rated",0.0781,39.7,12,44.6,57,0,57,39,11,0.00841363296328816
"12701",12700,"SOAD01750","Flumevale","Yes","Fish and Wildlife Pond","Earth",13.196,0.123,NA,0.03349,7.98987,"",0.166666666666667,23.81,"Low","Not Rated",0.0696,35.8,221.1,NA,54,1,25,8,54,0.00743294564143865
"12702",12701,"SOAD02840","Navaldia","No","","Earth",11.088,0.133,NA,0.18518,23.96961,"Uncontrolled",0,NA,"Significant","Not Rated",0.1669,31.2,27.9,NA,57,1,20,15,10,0.02002202658668
"12703",12702,"SOAD03107","Navaldia","Yes","Recreation","Earth",11.596,0.267,NA,0.20094,10.65316,"",1,NA,"High","Fair",0.1143,11.2,932.6,6,56,0,56,4,56,0.0128399992892929
"12704",12703,"SOAD04309","Navaldia","No","Water Supply","Earth",14.187,0.263,NA,0.04728,NA,"",0,NA,"Low","Not Rated",0.0846,40.7,7.4,24.9,61,0,61,61,11,0.00918517469376619
"12705",12704,"SOAD04596","Lyndrassia","No","Recreation","Earth",8.654,NA,NA,0.14381,5875.21774,"",0,23.99,"High","Not Rated",0.1023,44.9,205.2,6.3,53,0,53,53,53,0.0113349895392486
"12706",12705,"SOAD04897","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",5.266,0.667,NA,0.20882,NA,"",0,NA,"Low","Not Rated",0.1125,10.6,7.2,NA,54,0,54,54,11,0.0126165692309437
"12707",12706,"SOAD05267","Lyndrassia","No","Recreation","Earth",10.179,NA,NA,0.12805,3283.83657,"",0,1.59,"High","Not Rated",0.1342,25.7,516.6,8.4,NA,0,NA,NA,NA,0.0154397200910506
"12708",12707,"SOAD06376","Navaldia","No","Water Supply","Earth",9.141,0.4,NA,0.08077,NA,"",0,NA,"Low","Not Rated",0.0837,15.9,22.6,12.1,54,0,54,54,11,0.00907779008022989
"12709",12708,"SOAD07815","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",5.417,0.04,NA,NA,NA,"",0,32.69,"Low","",0.1112,19.2,66.9,NA,57,0,57,57,57,0.0124599384427763
"12710",12709,"SOAD09429","Navaldia","No","Recreation","Earth",7.823,0.243,NA,0.10441,NA,"",0,NA,"Significant","Not Rated",0.1323,35.7,223.6,5.3,72,0,72,17,11,0.0151853676194506
"12711",12710,"SOAD09506","Flumevale","Yes","Recreation","Earth",8.495,0.145,25835,0.16351,NA,"Uncontrolled",0.166666666666667,0,"Low","Fair",0.0555,10.8,114.6,5,58,0,58,12,6,0.00583908459212317
"12712",12711,"SOAD13137","Lyndrassia","No","Debris Control","Earth",10.144,NA,NA,0.13002,255.67584,"",0,1.59,"High","Not Rated",0.1564,42.4,757.3,NA,69,0,69,69,69,0.0184946795327633
"12713",12712,"SOAD13584","Flumevale","Yes","","Earth",5.827,1.353,NA,1.76906,NA,"Uncontrolled",0.166666666666667,NA,"Low","Fair",0.0512,149,17,NA,NA,0,NA,5,9,0.00535861753323078
"12714",12713,"SOAD14750","Navaldia","No","Irrigation","Earth",7.243,NA,NA,0.0985,2.66329,"",0,NA,"Low","Not Rated",0.0706,39,18.1,40.2,NA,0,NA,NA,11,0.00754702654689092
"12715",12714,"SOAD17142","Lyndrassia","No","Recreation","Earth",8.958,NA,NA,0.10244,4120.10963,"",0,0,"High","Not Rated",0.1013,24.4,500.9,8.1,49,0,49,45,49,0.0112114641318282
"12716",12715,"SOAD17322","Lyndrassia","No","Recreation","Earth",12.398,NA,NA,0.10835,7321.38421,"",0,9.25,"High","Not Rated",0.1265,18.9,441.7,5.5,64,0,64,44,64,0.014416969603566
"12717",12716,"SOAD18727","Flumevale","Yes","Irrigation","Earth",9.37,0.455,72174,0.13199,NA,"",0.166666666666667,13.9,"Low","Not Rated",0.0611,11.6,251.7,32,67,0,67,8,67,0.00646885981656633
"12718",12717,"SOAD19723","Navaldia","No","Other","Earth",5.711,0.4,NA,0.19109,2.66329,"",0,NA,"Low","Not Rated",0.0779,12,14.6,NA,43,0,43,31,11,0.00839004191957572
"12719",12718,"SOAD20296","Lyndrassia","No","Irrigation","Earth",10.204,NA,NA,0.13002,199.74675,"",0,5.05,"Low","Not Rated",0.0575,33.2,360.7,19.4,48,0,48,48,48,0.00606349841542952
"12720",12719,"SOAD03315","Lyndrassia","Yes","Irrigation","Earth",4.698,0.159,NA,0.22852,213.0632,"",0,172.2,"Significant","",0.1631,28.4,147,27.7,93,0,93,44,93,0.0194659530772746
"12721",12720,"SOAD05171","Lyndrassia","Yes","Irrigation","Earth",10.953,0.156,NA,NA,NA,"",0,53.23,"Low","",0.109,7.1,83.8,47.3,95,0,95,95,95,0.0121426823103594
"12722",12721,"SOAD05955","Navaldia","Yes","Irrigation","Earth",2.069,NA,NA,0.33096,NA,"",0.2,NA,"Significant","Not Rated",0.0973,101.8,167.5,26,73,0,73,2,10,0.0107199973467353
"12723",12722,"SOAD06331","Lyndrassia","No","Grade Stabilization","Earth",10.846,0.222,31578,0.00788,665.8225,"Uncontrolled",0,NA,"Low","Not Rated",0.0732,7.9,6.5,NA,61,0,61,61,61,0.00784433619964757
"12724",12723,"SOAD09140","Navaldia","No","Water Supply","Earth",4.125,0.2,NA,0.16745,NA,"",0,NA,"Low","Not Rated",0.116,36.7,13,70.8,60,0,60,60,11,0.0130573369495354
"12725",12724,"SOAD10797","Flumevale","Yes","Irrigation","Earth",22.493,0.133,NA,0.07289,7.98987,"Uncontrolled",0.166666666666667,8.09,"Low","Not Rated",0.0575,35.3,327.9,35.9,34,0,34,11,34,0.00606349841542952
"12726",12725,"SOAD11535","Navaldia","Yes","Flood Risk Reduction","Earth",9.924,0.538,53780,0.07092,2.66329,"",0,NA,"Low","Not Rated",0.1097,7.3,7,NA,60,0,60,12,11,0.0122840535938506
"12727",12726,"SOAD12106","Flumevale","Yes","Recreation","Earth",14.987,0.177,31199,0.15366,396.83021,"",0.5,11.12,"Significant","Satisfactory",0.1129,28.8,336,3.7,61,0,61,4,4,0.0126655585437237
"12728",12727,"SOAD12311","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",5.68,0.117,NA,NA,NA,"",0,56.2,"Low","",0.089,6.4,218.1,NA,90,0,90,90,90,0.00971274425755662
"12729",12728,"SOAD18985","Navaldia","No","Other","Earth",9.845,0.098,NA,NA,9667.7427,"",0,NA,"Low","Not Rated",0.0933,43.6,11.2,NA,45,0,45,45,11,0.010232543700426
"12730",12729,"SOAD19233","Navaldia","No","Recreation","Earth",5.54,0.244,NA,NA,10.65316,"",0,21.96,"Low","Not Rated",0.0741,43.7,180.1,8.2,54,0,54,54,11,0.00794749683890766
"12731",12730,"SOAD19524","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",8.864,NA,NA,0.15957,322.25809,"",0,0,"High","Not Rated",0.0981,34.7,862.1,NA,70,0,70,70,70,0.0108179613088894
"12732",12731,"SOAD19659","Lyndrassia","No","Other","Earth",10.908,NA,NA,0.13593,5409.14199,"",0,0,"Low","Not Rated",0.1038,44.5,689.5,NA,NA,0,NA,NA,NA,0.0115207899271086
"12733",12732,"SOAD01151","Flumevale","Yes","Flood Risk Reduction","Earth",10.629,0.412,NA,0.14775,7.98987,"Uncontrolled",0.333333333333333,4.94,"Low","Fair",0.0958,39.6,185.9,NA,42,0,42,4,8,0.010536745590558
"12734",12733,"SOAD01532","Navaldia","No","Irrigation","Earth",6.752,0.233,NA,NA,NA,"",0,NA,"Low","Not Rated",0.1185,40.3,12.6,8.5,75,0,75,75,11,0.0133842666488027
